ad_id,user_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,ad_creative_body,publisher_platforms,impressions_min,impressions_max,spend_min,spend_max,currency,age_group,gender,target_ages,target_gender,target_locations,ad_interests,estimated_audience_size_min,estimated_audience_size_max
AD_9043007129,USER_000001,282826,AutoDealer,2025-07-24,2025-07-27,2025-08-06,Discover amazing soccer opportunities,Facebook,4837,6148,28,397,USD,35-44,Female,35-44,Female,850XX,"professional_development,real_estate,investing,luxury_cars,wellness,soccer,fitness",6118,50493
AD_2269422158,USER_000002,302548,TravelAgency,2025-07-30,2025-08-05,2025-09-15,Discover amazing credit_cards opportunities,Instagram,3980,5647,72,347,USD,65+,Female,65+,Female,330XX,"wine,luxury_travel,discount_shopping,fashion,credit_cards,adventure_travel,real_estate,soccer",5515,25914
AD_2000432787,USER_000003,282826,AutoDealer,2025-07-02,2025-07-08,2025-08-16,Discover amazing professional_development opportunities,"Facebook,Instagram",233,1128,77,395,USD,45-54,Male,45-54,Male,900XX,"professional_development,parenting,discount_shopping,football",3722,12583
AD_3915108934,USER_000004,302548,TravelAgency,2025-06-29,2025-07-06,2025-07-31,Discover amazing luxury_travel opportunities,Instagram,4440,5205,18,311,USD,25-34,Female,25-34,Female,900XX,"music,fitness,luxury_travel,investing",6499,40165
AD_3800810308,USER_000005,302548,TravelAgency,2025-08-27,2025-08-28,2025-10-22,Discover amazing luxury_travel opportunities,Facebook,4338,5952,51,115,USD,55-64,Female,55-64,Female,770XX,"wine,luxury_travel,luxury_cars,investing,home_decor",8635,36267
AD_4700971924,USER_000006,385006,OnlineRetailer,2025-06-30,2025-07-01,2025-07-11,Discover amazing investing opportunities,Facebook,2410,3182,76,368,USD,35-44,Female,35-44,Female,900XX,"real_estate,investing,luxury_brands,real_estate",2861,94414
AD_1317422550,USER_000007,302548,TravelAgency,2025-06-05,2025-06-07,2025-08-02,Discover amazing online_courses opportunities,"Facebook,Instagram",3091,3848,36,106,USD,65+,Male,65+,Male,600XX,"golf,travel,online_courses",9370,55203
AD_6221841473,USER_000008,385006,OnlineRetailer,2025-06-13,2025-06-16,2025-07-10,Discover amazing professional_development opportunities,Facebook,3803,5106,59,120,USD,35-44,Female,35-44,Female,600XX,"parenting,professional_development,budget_travel,fashion",3251,81901
AD_8508481968,USER_000009,583359,GamingCompany,2025-09-09,2025-09-14,2025-10-19,Discover amazing investing opportunities,"Facebook,Instagram",3245,4696,15,417,USD,45-54,Female,45-54,Female,850XX,"professional_development,real_estate,investing,luxury_travel,wellness,online_shopping,tech_news",2066,80042
AD_1064746209,USER_000010,295351,FashionBrand,2025-07-01,2025-07-06,2025-08-25,Discover amazing fitness opportunities,Instagram,3683,4517,39,132,USD,25-34,Male,25-34,Male,980XX,"fitness,online_shopping,real_estate,investing,basketball,concerts",7658,68726
AD_1609693724,USER_000011,302548,TravelAgency,2025-10-06,2025-10-10,2025-11-14,Discover amazing online_courses opportunities,Facebook,3284,4887,80,502,USD,45-54,Male,45-54,Male,900XX,"investing,real_estate,budget_travel,beach_destinations,credit_cards,online_courses,nutrition",7184,48861
AD_4544944747,USER_000012,302548,TravelAgency,2025-09-20,2025-09-24,2025-10-04,Discover amazing family_activities opportunities,"Facebook,Instagram",6281,7307,22,159,USD,55-64,Male,55-64,Male,770XX,"travel,wine,luxury_cars,luxury_brands,basketball,parenting,running,family_activities",3005,71758
AD_1598701076,USER_000013,302548,TravelAgency,2025-07-17,2025-07-22,2025-08-18,Discover amazing online_courses opportunities,Facebook,4297,6024,88,420,USD,55-64,Female,55-64,Female,900XX,"luxury_travel,retirement_planning,online_courses,wellness,meal_delivery,political_activism,online_shopping,gadgets",2066,63649
AD_5395825348,USER_000014,302548,TravelAgency,2025-06-11,2025-06-12,2025-06-21,Discover amazing fashion opportunities,Instagram,4260,5612,46,424,USD,65+,Female,65+,Female,900XX,"travel,golf,luxury_brands,real_estate,fashion,online_shopping,parenting",3094,41136
AD_6041965886,USER_000015,192495,TechCorp,2025-08-17,2025-08-22,2025-10-02,Discover amazing music opportunities,Facebook,2624,3604,73,214,USD,18-24,Female,18-24,Female,980XX,"music,gaming,luxury_brands,investing,movies,cycling,computers,retirement_planning",8410,28418
AD_9945043000,USER_000016,770926,SportsGear,2025-06-09,2025-06-10,2025-06-20,Discover amazing budget_travel opportunities,"Facebook,Instagram",4889,6121,94,274,USD,35-44,Male,35-44,Male,100XX,"investing,real_estate,budget_travel",2414,35637
AD_8661988789,USER_000017,295351,FashionBrand,2025-06-05,2025-06-10,2025-07-06,Discover amazing fitness opportunities,"Facebook,Instagram",2780,3296,56,181,USD,25-34,Female,25-34,Female,330XX,"fitness,online_shopping,online_courses,electric_vehicles,retirement_planning,gadgets,cryptocurrency,music",4244,55968
AD_1866207596,USER_000018,583359,GamingCompany,2025-08-25,2025-08-31,2025-10-17,Discover amazing cryptocurrency opportunities,Facebook,265,1898,56,350,USD,55-64,Male,55-64,Male,770XX,"luxury_travel,golf,online_courses,tech_news,fitness,wellness,cryptocurrency",4218,86208
AD_5448363594,USER_000019,583359,GamingCompany,2025-09-09,2025-09-10,2025-11-08,Discover amazing real_estate opportunities,"Facebook,Instagram",2101,3080,10,165,USD,45-54,Male,45-54,Male,600XX,"real_estate,investing,luxury_cars,real_estate,baseball,computers,streaming_services",9142,18687
AD_5706144393,USER_000020,385006,OnlineRetailer,2025-08-06,2025-08-08,2025-08-24,Discover amazing wellness opportunities,Instagram,4296,6119,61,162,USD,55-64,Female,55-64,Female,850XX,"golf,wine,discount_shopping,fashion,concerts,wellness",9002,89952
AD_5724120707,USER_000021,302548,TravelAgency,2025-08-28,2025-09-01,2025-09-20,Discover amazing retirement_planning opportunities,Facebook,1655,2260,25,425,USD,65+,Female,65+,Female,600XX,"retirement_planning,luxury_travel,discount_shopping,adventure_travel,mental_health,luxury_cars,online_courses",9836,90233
AD_6260264645,USER_000022,295351,FashionBrand,2025-07-07,2025-07-10,2025-08-11,Discover amazing parenting opportunities,Facebook,3963,5951,20,114,USD,45-54,Female,45-54,Female,900XX,"parenting,investing,luxury_cars,luxury_brands,fashion,car_maintenance,soccer,cycling",2544,55837
AD_8899408950,USER_000023,192495,TechCorp,2025-09-27,2025-10-01,2025-11-09,Discover amazing childcare opportunities,Instagram,406,1053,17,149,USD,25-34,Female,25-34,Female,770XX,"online_shopping,streaming_services,discount_shopping,fashion,parenting,restaurants,childcare",8647,74070
AD_8358504023,USER_000024,583359,GamingCompany,2025-09-16,2025-09-18,2025-10-05,Discover amazing online_shopping opportunities,Facebook,4300,5364,85,262,USD,25-34,Male,25-34,Male,850XX,"gaming,online_shopping,online_courses,home_decor,adventure_travel,credit_cards",7112,43629
AD_3458108072,USER_000025,302548,TravelAgency,2025-09-02,2025-09-06,2025-10-31,Discover amazing fashion opportunities,Instagram,3094,4652,20,452,USD,55-64,Male,55-64,Male,980XX,"luxury_travel,retirement_planning,luxury_brands,luxury_cars,football,fashion,music",2798,60894
AD_8905448084,USER_000026,302548,TravelAgency,2025-09-12,2025-09-15,2025-11-07,Discover amazing luxury_brands opportunities,Instagram,4604,6000,70,332,USD,55-64,Female,55-64,Female,330XX,"retirement_planning,luxury_travel,luxury_cars,luxury_brands",1352,72619
AD_8836933420,USER_000027,746137,StreamingService,2025-09-03,2025-09-05,2025-09-16,Discover amazing online_courses opportunities,Facebook,2184,4073,25,284,USD,25-34,Female,25-34,Female,850XX,"streaming_services,music,online_courses,fashion,online_shopping,beach_destinations",3279,18410
AD_8148197295,USER_000028,385006,OnlineRetailer,2025-08-20,2025-08-27,2025-09-08,Discover amazing wellness opportunities,Facebook,429,1024,25,137,USD,45-54,Male,45-54,Male,900XX,"investing,professional_development,luxury_brands,luxury_cars,wellness,restaurants,music,gadgets",7385,47108
AD_1999098284,USER_000029,302548,TravelAgency,2025-07-13,2025-07-19,2025-08-27,Discover amazing car_maintenance opportunities,Instagram,1625,2256,10,72,USD,65+,Male,65+,Male,770XX,"luxury_travel,retirement_planning,budget_travel,nutrition,car_maintenance",3082,45447
AD_5250038155,USER_000030,306543,RealEstateGroup,2025-07-07,2025-07-14,2025-07-28,Discover amazing professional_development opportunities,Instagram,4054,5060,86,293,USD,35-44,Male,35-44,Male,100XX,"investing,professional_development,luxury_cars",8614,10320
AD_5537438877,USER_000031,583359,GamingCompany,2025-08-31,2025-09-05,2025-09-25,Discover amazing streaming_services opportunities,Facebook,7442,9222,87,551,USD,25-34,Female,25-34,Female,330XX,"fitness,streaming_services,online_courses,professional_development,home_decor",4653,32218
AD_4507478693,USER_000032,583359,GamingCompany,2025-08-05,2025-08-12,2025-10-03,Discover amazing fitness opportunities,"Facebook,Instagram",3217,4845,66,341,USD,25-34,Male,25-34,Male,330XX,"fitness,gaming,budget_travel,tech_news",7072,36698
AD_4779004955,USER_000033,746137,StreamingService,2025-08-30,2025-09-06,2025-10-05,Discover amazing soccer opportunities,"Facebook,Instagram",1026,2618,25,173,USD,18-24,Male,18-24,Male,770XX,"music,fitness,luxury_cars,luxury_travel,tech_news,soccer,cryptocurrency,computers",2495,98912
AD_8309797266,USER_000034,302548,TravelAgency,2025-09-10,2025-09-13,2025-10-13,Discover amazing discount_shopping opportunities,"Facebook,Instagram",3164,4931,54,172,USD,55-64,Male,55-64,Male,850XX,"luxury_travel,travel,discount_shopping",5091,10190
AD_9939247043,USER_000035,302548,TravelAgency,2025-09-05,2025-09-12,2025-10-02,Discover amazing parenting opportunities,Instagram,374,1014,61,157,USD,35-44,Male,35-44,Male,100XX,"parenting,investing,investing,luxury_cars,football,electric_vehicles,university,luxury_travel",2697,33770
AD_5803029636,USER_000036,192495,TechCorp,2025-09-04,2025-09-10,2025-10-11,Discover amazing travel opportunities,Instagram,1104,3016,16,368,USD,55-64,Female,55-64,Female,900XX,"travel,wine,budget_travel,streaming_services,fashion,beach_destinations,theater,nutrition",2939,16360
AD_9527803801,USER_000037,583359,GamingCompany,2025-09-05,2025-09-08,2025-10-31,Discover amazing luxury_cars opportunities,"Facebook,Instagram",8711,10427,59,350,USD,18-24,Male,18-24,Male,770XX,"streaming_services,fitness,luxury_brands,luxury_cars,tech_news",8694,67530
AD_6309446652,USER_000038,583359,GamingCompany,2025-10-03,2025-10-07,2025-10-26,Discover amazing gaming opportunities,"Facebook,Instagram",4023,5739,34,137,USD,18-24,Female,18-24,Female,330XX,"music,gaming,luxury_travel,investing,political_activism",4524,49836
AD_9044718611,USER_000039,282826,AutoDealer,2025-07-09,2025-07-12,2025-08-11,Discover amazing real_estate opportunities,Instagram,5389,6887,13,340,USD,35-44,Female,35-44,Female,850XX,"investing,real_estate,investing,real_estate,home_decor,gadgets,family_activities",2366,74360
AD_5947799132,USER_000040,583359,GamingCompany,2025-09-10,2025-09-16,2025-10-13,Discover amazing home_decor opportunities,Instagram,4337,5319,76,420,USD,45-54,Female,45-54,Female,770XX,"real_estate,parenting,online_courses,home_decor,software,discount_shopping,cooking",3499,29799
AD_9733399703,USER_000041,302548,TravelAgency,2025-06-28,2025-07-05,2025-08-18,Discover amazing concerts opportunities,"Facebook,Instagram",3265,3971,39,143,USD,55-64,Male,55-64,Male,980XX,"luxury_travel,wine,budget_travel,football,concerts,parenting,wellness",6329,79856
AD_6326637542,USER_000042,583359,GamingCompany,2025-06-22,2025-06-28,2025-07-05,Discover amazing gaming opportunities,Instagram,8303,9217,100,480,USD,25-34,Female,25-34,Female,100XX,"music,gaming,investing,real_estate,fashion,gadgets,yoga",5120,35727
AD_5014843134,USER_000043,295351,FashionBrand,2025-09-03,2025-09-05,2025-10-09,Discover amazing investing opportunities,Facebook,1689,2417,46,358,USD,45-54,Female,45-54,Female,600XX,"professional_development,investing,real_estate",6690,29044
AD_2023096068,USER_000044,302548,TravelAgency,2025-06-19,2025-06-20,2025-08-15,Discover amazing travel opportunities,"Facebook,Instagram",1798,3366,79,185,USD,65+,Female,65+,Female,980XX,"travel,wine,budget_travel,wellness",8285,41252
AD_1288669182,USER_000045,302548,TravelAgency,2025-08-22,2025-08-28,2025-09-22,Discover amazing wine opportunities,Instagram,4009,5649,22,247,USD,65+,Female,65+,Female,600XX,"wine,travel,budget_travel",7529,72335
